Stationsnummer: 2410
Stationsname: Ruggell
DBLH-Nr: 00929
Gewässer: Liechtensteiner Binnenkanal
Exportperiode: 2019-01-01-2020-06-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-01 00:00:00;;7.47;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-02 00:00:00;;6.76;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-03 00:00:00;;6.50;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-04 00:00:00;;6.72;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-05 00:00:00;;6.67;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-06 00:00:00;;6.85;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-07 00:00:00;;7.27;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-08 00:00:00;;7.13;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-09 00:00:00;;6.65;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-10 00:00:00;;6.67;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-11 00:00:00;;6.75;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-12 00:00:00;;7.17;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-13 00:00:00;;6.68;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-14 00:00:00;;5.68;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-15 00:00:00;;6.42;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-16 00:00:00;;6.51;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-17 00:00:00;;7.12;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-18 00:00:00;;7.02;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-19 00:00:00;;6.48;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-20 00:00:00;;6.81;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-21 00:00:00;;6.92;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-22 00:00:00;;6.51;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-23 00:00:00;;6.14;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-24 00:00:00;;6.70;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-25 00:00:00;;6.80;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-26 00:00:00;;6.99;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-27 00:00:00;;7.41;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-28 00:00:00;;7.44;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-29 00:00:00;;7.16;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-30 00:00:00;;6.61;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-01-31 00:00:00;;6.41;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-01 00:00:00;;7.07;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-02 00:00:00;;7.59;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-03 00:00:00;;6.69;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-04 00:00:00;;6.63;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-05 00:00:00;;6.34;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-06 00:00:00;;6.15;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-07 00:00:00;;6.39;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-08 00:00:00;;7.28;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-09 00:00:00;;7.75;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-10 00:00:00;;8.22;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-11 00:00:00;;7.16;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-12 00:00:00;;7.21;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-13 00:00:00;;6.97;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-14 00:00:00;;7.26;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-15 00:00:00;;7.18;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-16 00:00:00;;7.36;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-17 00:00:00;;7.84;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-18 00:00:00;;7.49;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-19 00:00:00;;7.28;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-20 00:00:00;;7.63;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-21 00:00:00;;7.67;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-22 00:00:00;;8.08;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-23 00:00:00;;8.16;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-24 00:00:00;;7.66;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-25 00:00:00;;7.64;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-26 00:00:00;;7.73;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-27 00:00:00;;8.01;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-02-28 00:00:00;;8.31;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-03-01 00:00:00;;8.12;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-03-02 00:00:00;;8.43;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-03-03 00:00:00;;8.87;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-03-04 00:00:00;;7.97;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-03-05 00:00:00;;8.01;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-03-06 00:00:00;;8.04;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-03-07 00:00:00;;8.32;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-03-08 00:00:00;;8.30;Freigegeben, provisorische Daten
Ruggell;2410;Wassertemperatur;Tagesmittel;°C;Liechtensteiner Binnenkanal;2019-03-09 00:00:00;;8.47;Freigegeben, provisorische Daten
