Stationsnummer: 2414
Stationsname: Mosnang, Rietholz
DBLH-Nr: 00935
Gewässer: Rietholzbach
Exportperiode: 2019-01-01-2022-01-05
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Mosnang, Rietholz;2414;Wassertemperatur;Tagesmaxima;°C;Rietholzbach;2019-01-01 00:00:00;2019-01-01 00:00:00;5.28;Freigegeben, provisorische Daten
Mosnang, Rietholz;2414;Wassertemperatur;Tagesmaxima;°C;Rietholzbach;2019-01-02 00:00:00;2019-01-02 00:00:00;4.44;Freigegeben, provisorische Daten
Mosnang, Rietholz;2414;Wassertemperatur;Tagesmaxima;°C;Rietholzbach;2019-01-03 00:00:00;2019-01-03 00:00:00;2.74;Freigegeben, provisorische Daten
Mosnang, Rietholz;2414;Wassertemperatur;Tagesmaxima;°C;Rietholzbach;2019-01-04 00:00:00;2019-01-04 16:40:00;1.96;Freigegeben, provisorische Daten
Mosnang, Rietholz;2414;Wassertemperatur;Tagesmaxima;°C;Rietholzbach;2019-01-05 00:00:00;2019-01-05 07:40:00;2.06;Freigegeben, provisorische Daten
Mosnang, Rietholz;2414;Wassertemperatur;Tagesmaxima;°C;Rietholzbach;2019-01-06 00:00:00;2019-01-07 00:00:00;2.33;Freigegeben, provisorische Daten
Mosnang, Rietholz;2414;Wassertemperatur;Tagesmaxima;°C;Rietholzbach;2019-01-07 00:00:00;2019-01-07 13:20:00;3.13;Freigegeben, provisorische Daten
Mosnang, Rietholz;2414;Wassertemperatur;Tagesmaxima;°C;Rietholzbach;2019-01-08 00:00:00;2019-01-08 00:00:00;2.90;Freigegeben, provisorische Daten
Mosnang, Rietholz;2414;Wassertemperatur;Tagesmaxima;°C;Rietholzbach;2019-01-09 00:00:00;2019-01-09 00:55:00;2.78;Freigegeben, provisorische Daten
Mosnang, Rietholz;2414;Wassertemperatur;Tagesmaxima;°C;Rietholzbach;2019-01-10 00:00:00;2019-01-10 01:30:00;1.75;Freigegeben, provisorische Daten
Mosnang, Rietholz;2414;Wassertemperatur;Tagesmaxima;°C;Rietholzbach;2019-01-11 00:00:00;2019-01-11 16:10:00;1.98;Freigegeben, provisorische Daten
