Stationsnummer: 2415
Stationsname: Rheinsfelden
DBLH-Nr: 00938
Gewässer: Glatt
Exportperiode: 2019-01-01-2022-01-12
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-01 00:00:00;2019-01-01 00:20:00;7.64;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-02 00:00:00;2019-01-02 02:10:00;7.32;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-03 00:00:00;2019-01-03 00:00:00;6.13;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-04 00:00:00;2019-01-04 16:40:00;6.14;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-05 00:00:00;2019-01-05 06:00:00;6.04;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-06 00:00:00;2019-01-06 21:10:00;6.98;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-07 00:00:00;2019-01-07 14:30:00;7.19;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-08 00:00:00;2019-01-08 00:40:00;6.90;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-09 00:00:00;2019-01-09 00:10:00;6.75;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-10 00:00:00;2019-01-10 00:10:00;6.19;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-11 00:00:00;2019-01-11 15:50:00;6.12;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-12 00:00:00;2019-01-12 17:50:00;6.37;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-13 00:00:00;2019-01-13 23:10:00;6.49;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-14 00:00:00;2019-01-14 04:50:00;6.66;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-15 00:00:00;2019-01-15 16:40:00;6.67;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-16 00:00:00;2019-01-16 16:50:00;6.10;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-17 00:00:00;2019-01-17 17:20:00;6.43;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-18 00:00:00;2019-01-18 00:00:00;6.14;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-19 00:00:00;2019-01-19 00:00:00;5.37;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-20 00:00:00;2019-01-21 00:00:00;5.27;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-21 00:00:00;2019-01-21 23:00:00;5.65;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-22 00:00:00;2019-01-22 00:10:00;5.65;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-23 00:00:00;2019-01-23 16:30:00;5.33;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-24 00:00:00;2019-01-24 15:10:00;5.06;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-25 00:00:00;2019-01-25 16:50:00;5.10;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-26 00:00:00;2019-01-26 17:00:00;5.40;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-27 00:00:00;2019-01-27 16:50:00;6.00;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-28 00:00:00;2019-01-28 03:20:00;5.92;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-29 00:00:00;2019-01-29 16:50:00;5.98;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-30 00:00:00;2019-01-30 16:20:00;5.59;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-01-31 00:00:00;2019-01-31 16:50:00;5.34;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-01 00:00:00;2019-02-01 21:10:00;5.64;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-02 00:00:00;2019-02-02 17:50:00;6.19;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-03 00:00:00;2019-02-03 14:50:00;6.09;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-04 00:00:00;2019-02-04 15:30:00;5.55;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-05 00:00:00;2019-02-05 16:10:00;5.20;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-06 00:00:00;2019-02-06 16:40:00;5.05;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-07 00:00:00;2019-02-07 23:40:00;5.79;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-08 00:00:00;2019-02-08 16:30:00;6.32;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-09 00:00:00;2019-02-09 16:50:00;6.78;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-10 00:00:00;2019-02-10 16:00:00;6.49;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-11 00:00:00;2019-02-11 16:40:00;6.38;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-12 00:00:00;2019-02-12 16:50:00;6.44;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-13 00:00:00;2019-02-13 17:10:00;5.97;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-14 00:00:00;2019-02-14 18:00:00;6.26;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-15 00:00:00;2019-02-15 17:10:00;6.37;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-16 00:00:00;2019-02-16 16:50:00;6.52;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-17 00:00:00;2019-02-17 17:00:00;6.76;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-18 00:00:00;2019-02-18 17:30:00;6.95;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-19 00:00:00;2019-02-19 17:30:00;7.55;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-20 00:00:00;2019-02-20 16:50:00;7.75;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-21 00:00:00;2019-02-21 17:50:00;7.95;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-22 00:00:00;2019-02-22 16:50:00;8.68;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-23 00:00:00;2019-02-23 16:50:00;8.26;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-24 00:00:00;2019-02-24 16:50:00;7.43;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-25 00:00:00;2019-02-25 18:10:00;8.19;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-26 00:00:00;2019-02-26 17:00:00;8.66;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-27 00:00:00;2019-02-27 17:00:00;8.84;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-02-28 00:00:00;2019-02-28 16:50:00;9.33;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-01 00:00:00;2019-03-01 15:00:00;8.86;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-02 00:00:00;2019-03-02 16:40:00;8.31;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-03 00:00:00;2019-03-03 17:00:00;9.49;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-04 00:00:00;2019-03-04 00:00:00;8.38;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-05 00:00:00;2019-03-05 19:00:00;8.58;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-06 00:00:00;2019-03-06 17:20:00;8.68;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-07 00:00:00;2019-03-08 00:00:00;8.25;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-08 00:00:00;2019-03-08 15:30:00;8.91;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-09 00:00:00;2019-03-09 18:00:00;8.82;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-10 00:00:00;2019-03-10 17:00:00;10.11;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-11 00:00:00;2019-03-11 00:00:00;8.91;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-12 00:00:00;2019-03-12 16:20:00;8.28;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-13 00:00:00;2019-03-13 17:40:00;8.53;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-14 00:00:00;2019-03-14 00:00:00;7.79;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-15 00:00:00;2019-03-16 00:00:00;8.24;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-16 00:00:00;2019-03-16 16:40:00;9.98;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-17 00:00:00;2019-03-17 00:00:00;8.78;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-18 00:00:00;2019-03-18 16:40:00;7.99;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-19 00:00:00;2019-03-19 17:40:00;8.45;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-20 00:00:00;2019-03-20 16:50:00;8.61;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-21 00:00:00;2019-03-21 16:50:00;9.15;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-22 00:00:00;2019-03-22 17:30:00;9.94;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-23 00:00:00;2019-03-23 17:20:00;11.03;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-24 00:00:00;2019-03-24 17:10:00;11.35;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-25 00:00:00;2019-03-25 15:50:00;10.89;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-26 00:00:00;2019-03-26 18:40:00;9.40;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-27 00:00:00;2019-03-27 19:10:00;9.64;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-28 00:00:00;2019-03-28 17:40:00;10.94;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-29 00:00:00;2019-03-29 17:10:00;11.75;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-30 00:00:00;2019-03-30 17:10:00;12.35;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-03-31 00:00:00;2019-03-31 17:20:00;12.95;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-01 00:00:00;2019-04-01 17:20:00;13.32;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-02 00:00:00;2019-04-02 16:50:00;13.61;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-03 00:00:00;2019-04-03 15:50:00;13.36;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-04 00:00:00;2019-04-04 00:00:00;11.93;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-05 00:00:00;2019-04-05 15:30:00;10.01;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-06 00:00:00;2019-04-06 17:40:00;11.10;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-07 00:00:00;2019-04-07 17:40:00;11.54;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-08 00:00:00;2019-04-08 15:20:00;12.98;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-09 00:00:00;2019-04-09 17:00:00;12.97;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-10 00:00:00;2019-04-10 00:00:00;11.54;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-11 00:00:00;2019-04-11 17:20:00;11.57;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-12 00:00:00;2019-04-12 16:20:00;11.74;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-13 00:00:00;2019-04-13 16:50:00;11.65;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-14 00:00:00;2019-04-14 00:00:00;10.34;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-15 00:00:00;2019-04-15 18:20:00;11.63;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-16 00:00:00;2019-04-16 17:00:00;13.38;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-17 00:00:00;2019-04-17 16:30:00;14.38;Freigegeben, provisorische Daten
Rheinsfelden;2415;Wassertemperatur;Tagesmaxima;°C;Glatt;2019-04-18 00:00:00;2019-04-18 17:30:00;15.40;Freigegeben, provisorische Daten
