Stationsnummer: 2432
Stationsname: Ecublens, Les Bois
DBLH-Nr: 00960
Gewässer: Venoge
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-01 00:00:00;2014-01-01 21:05:00;6.92;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-02 00:00:00;2014-01-02 18:35:00;6.87;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-03 00:00:00;2014-01-04 00:00:00;7.18;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-04 00:00:00;2014-01-04 05:55:00;7.22;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-05 00:00:00;2014-01-05 17:15:00;6.84;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-06 00:00:00;2014-01-06 21:15:00;6.83;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-07 00:00:00;2014-01-07 21:15:00;7.51;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-08 00:00:00;2014-01-08 19:15:00;8.04;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-09 00:00:00;2014-01-10 00:00:00;7.90;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-10 00:00:00;2014-01-10 00:05:00;7.90;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-11 00:00:00;2014-01-11 20:45:00;7.42;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-12 00:00:00;2014-01-12 22:15:00;7.51;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-13 00:00:00;2014-01-13 00:00:00;7.50;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-14 00:00:00;2014-01-14 21:15:00;7.50;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-15 00:00:00;2014-01-15 00:00:00;7.31;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-16 00:00:00;2014-01-16 20:35:00;6.82;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-17 00:00:00;2014-01-17 00:00:00;6.60;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-18 00:00:00;2014-01-18 15:45:00;6.83;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-19 00:00:00;2014-01-19 20:35:00;7.12;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-20 00:00:00;2014-01-20 20:45:00;7.26;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-21 00:00:00;2014-01-21 00:00:00;7.18;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-22 00:00:00;2014-01-22 00:00:00;7.13;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-23 00:00:00;2014-01-24 00:00:00;6.95;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-24 00:00:00;2014-01-24 00:05:00;6.95;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-25 00:00:00;2014-01-25 00:00:00;5.94;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-26 00:00:00;2014-01-26 22:55:00;6.50;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-27 00:00:00;2014-01-27 14:45:00;6.58;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-28 00:00:00;2014-01-28 00:00:00;5.90;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-29 00:00:00;2014-01-29 00:00:00;5.41;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-30 00:00:00;2014-01-30 21:45:00;5.37;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-01-31 00:00:00;2014-01-31 00:00:00;5.35;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-01 00:00:00;2014-02-02 00:00:00;5.62;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-02 00:00:00;2014-02-02 20:45:00;6.19;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-03 00:00:00;2014-02-03 19:35:00;6.31;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-04 00:00:00;2014-02-04 15:45:00;6.47;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-05 00:00:00;2014-02-05 00:00:00;6.32;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-06 00:00:00;2014-02-06 21:55:00;6.52;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-07 00:00:00;2014-02-07 00:00:00;6.45;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-08 00:00:00;2014-02-08 19:45:00;6.30;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-09 00:00:00;2014-02-09 18:45:00;6.28;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-10 00:00:00;2014-02-10 18:45:00;6.28;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-11 00:00:00;2014-02-11 20:05:00;6.62;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-12 00:00:00;2014-02-12 19:15:00;6.87;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-13 00:00:00;2014-02-13 00:00:00;6.72;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-14 00:00:00;2014-02-14 18:05:00;6.48;Freigegeben, validierte Daten
Ecublens, Les Bois;2432;Wassertemperatur;Tagesmaxima;°C;Venoge;2014-02-15 00:00:00;2014-02-15 21:45:00;7.22;Freigegeben, validierte Daten
