Stationsnummer: 2462
Stationsname: S-Chanf
DBLH-Nr: 01112
Gewässer: Inn
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-01 00:00:00;2014-01-01 02:35:00;0.36;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-02 00:00:00;2014-01-02 20:55:00;0.61;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-03 00:00:00;2014-01-03 18:35:00;1.29;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-04 00:00:00;2014-01-04 16:05:00;1.23;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-05 00:00:00;2014-01-05 16:55:00;2.17;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-06 00:00:00;2014-01-06 20:55:00;1.51;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-07 00:00:00;2014-01-07 19:15:00;1.87;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-08 00:00:00;2014-01-08 17:35:00;2.06;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-09 00:00:00;2014-01-09 17:25:00;2.28;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-10 00:00:00;2014-01-10 15:45:00;2.76;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-11 00:00:00;2014-01-11 17:45:00;2.53;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-12 00:00:00;2014-01-12 00:05:00;1.84;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-13 00:00:00;2014-01-14 00:00:00;0.45;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-14 00:00:00;2014-01-14 05:25:00;0.73;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-15 00:00:00;2014-01-15 16:25:00;1.02;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-16 00:00:00;2014-01-16 23:35:00;1.58;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-17 00:00:00;2014-01-17 00:00:00;1.50;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-18 00:00:00;2014-01-18 17:15:00;1.97;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-19 00:00:00;2014-01-19 16:35:00;2.94;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-20 00:00:00;2014-01-20 15:25:00;2.87;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-21 00:00:00;2014-01-21 16:25:00;3.15;Freigegeben, validierte Daten
S-Chanf;2462;Wassertemperatur;Tagesmaxima;°C;Inn;2014-01-22 00:00:00;2014-01-22 00:00:00;1.21;Freigegeben, validierte Daten
