Stationsnummer: 2467
Stationsname: Gümmenen
DBLH-Nr: 01114
Gewässer: Saane
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-01 00:00:00;2014-01-01 15:10:00;4.49;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-02 00:00:00;2014-01-02 16:10:00;4.70;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-03 00:00:00;2014-01-03 14:40:00;4.40;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-04 00:00:00;2014-01-04 10:50:00;4.40;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-05 00:00:00;2014-01-05 13:30:00;4.30;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-06 00:00:00;2014-01-06 14:20:00;4.16;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-07 00:00:00;2014-01-07 14:40:00;4.60;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-08 00:00:00;2014-01-08 13:00:00;4.40;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-09 00:00:00;2014-01-10 00:00:00;4.51;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-10 00:00:00;2014-01-10 02:40:00;5.00;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-11 00:00:00;2014-01-11 17:20:00;4.90;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-12 00:00:00;2014-01-12 18:20:00;4.60;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-13 00:00:00;2014-01-13 01:40:00;4.60;Freigegeben, validierte Daten
Gümmenen;2467;Wassertemperatur;Tagesmaxima;°C;Saane;2014-01-14 00:00:00;2014-01-14 07:20:00;4.79;Freigegeben, validierte Daten
