Stationsnummer: 2467
Stationsname: Gümmenen
DBLH-Nr: 01114
Gewässer: Saane
Exportperiode: 2020-01-29-2021-11-02
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-01-29 00:00:00;;4.09;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-01-30 00:00:00;;4.11;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-01-31 00:00:00;;4.67;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-01 00:00:00;;4.55;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-02 00:00:00;;5.69;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-03 00:00:00;;4.96;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-04 00:00:00;;5.07;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-05 00:00:00;;4.44;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-06 00:00:00;;4.39;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-07 00:00:00;;4.40;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-08 00:00:00;;4.15;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-09 00:00:00;;4.47;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-10 00:00:00;;5.33;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-11 00:00:00;;5.24;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-12 00:00:00;;4.89;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-13 00:00:00;;4.59;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-14 00:00:00;;4.76;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-15 00:00:00;;4.48;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-16 00:00:00;;4.92;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-17 00:00:00;;5.08;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-18 00:00:00;;4.94;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-19 00:00:00;;4.88;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-20 00:00:00;;4.87;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-21 00:00:00;;5.07;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-22 00:00:00;;4.94;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-23 00:00:00;;5.77;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-24 00:00:00;;5.72;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-25 00:00:00;;5.48;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-26 00:00:00;;5.23;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-27 00:00:00;;4.84;Freigegeben, provisorische Daten
Gümmenen;2467;Wassertemperatur;Tagesmittel;°C;Saane;2020-02-28 00:00:00;;4.92;Freigegeben, provisorische Daten
