Stationsnummer: 2473
Stationsname: Diepoldsau, Rietbrücke
DBLH-Nr: 01129
Gewässer: Rhein
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-01 00:00:00;2014-01-01 23:25:00;3.58;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-02 00:00:00;2014-01-02 15:25:00;4.11;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-03 00:00:00;2014-01-03 21:25:00;4.66;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-04 00:00:00;2014-01-04 23:55:00;5.04;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-05 00:00:00;2014-01-05 16:15:00;5.50;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-06 00:00:00;2014-01-06 16:15:00;4.95;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-07 00:00:00;2014-01-07 14:05:00;5.33;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-08 00:00:00;2014-01-08 12:35:00;5.18;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-09 00:00:00;2014-01-09 16:45:00;5.08;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-10 00:00:00;2014-01-10 11:45:00;5.45;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-11 00:00:00;2014-01-11 21:55:00;5.53;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-12 00:00:00;2014-01-12 18:45:00;5.43;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-13 00:00:00;2014-01-13 00:00:00;5.29;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-14 00:00:00;2014-01-14 14:05:00;4.54;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-15 00:00:00;2014-01-15 22:25:00;4.55;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-16 00:00:00;2014-01-16 12:45:00;4.93;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-17 00:00:00;2014-01-17 12:05:00;5.08;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-18 00:00:00;2014-01-18 22:05:00;4.84;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-19 00:00:00;2014-01-20 00:00:00;5.43;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-20 00:00:00;2014-01-20 12:35:00;5.78;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-21 00:00:00;2014-01-21 12:35:00;5.40;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-22 00:00:00;2014-01-22 15:05:00;5.61;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-23 00:00:00;2014-01-23 14:45:00;4.56;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-24 00:00:00;2014-01-24 15:35:00;4.66;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-25 00:00:00;2014-01-25 15:25:00;4.64;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-26 00:00:00;2014-01-26 15:35:00;4.25;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-27 00:00:00;2014-01-27 16:05:00;4.59;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-28 00:00:00;2014-01-28 13:25:00;4.65;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-29 00:00:00;2014-01-29 15:55:00;3.66;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-30 00:00:00;2014-01-30 16:35:00;3.50;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-01-31 00:00:00;2014-01-31 16:15:00;4.60;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-01 00:00:00;2014-02-01 15:15:00;4.59;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-02 00:00:00;2014-02-02 16:15:00;5.13;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-03 00:00:00;2014-02-03 12:45:00;5.43;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-04 00:00:00;2014-02-04 15:25:00;4.80;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-05 00:00:00;2014-02-05 15:15:00;4.95;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-06 00:00:00;2014-02-06 17:15:00;5.53;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-07 00:00:00;2014-02-07 12:05:00;5.22;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-08 00:00:00;2014-02-08 17:15:00;4.98;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-09 00:00:00;2014-02-09 16:45:00;6.00;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-10 00:00:00;2014-02-10 00:00:00;5.38;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-11 00:00:00;2014-02-11 16:15:00;6.20;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-12 00:00:00;2014-02-12 17:15:00;5.38;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-13 00:00:00;2014-02-13 19:05:00;4.93;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-14 00:00:00;2014-02-14 15:15:00;5.20;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-15 00:00:00;2014-02-15 17:25:00;6.37;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-16 00:00:00;2014-02-16 01:05:00;6.21;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-17 00:00:00;2014-02-17 15:55:00;6.26;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-18 00:00:00;2014-02-18 16:15:00;5.77;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-19 00:00:00;2014-02-19 13:45:00;5.55;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-20 00:00:00;2014-02-20 17:05:00;6.35;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-21 00:00:00;2014-02-21 00:00:00;5.35;Freigegeben, validierte Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmaxima;°C;Rhein;2014-02-22 00:00:00;2014-02-22 17:15:00;6.13;Freigegeben, validierte Daten
