Stationsnummer: 2473
Stationsname: Diepoldsau, Rietbrücke
DBLH-Nr: 01129
Gewässer: Rhein
Exportperiode: 2019-01-01-2022-01-19
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-01 00:00:00;;4.29;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-02 00:00:00;;4.38;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-03 00:00:00;;3.04;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-04 00:00:00;;2.74;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-05 00:00:00;;2.52;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-06 00:00:00;;2.38;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-07 00:00:00;;3.54;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-08 00:00:00;;3.43;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-09 00:00:00;;3.11;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-10 00:00:00;;2.76;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-11 00:00:00;;2.89;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-12 00:00:00;;3.01;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-13 00:00:00;;3.34;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-14 00:00:00;;3.55;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-15 00:00:00;;3.23;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-16 00:00:00;;2.94;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-17 00:00:00;;3.21;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-18 00:00:00;;3.28;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-19 00:00:00;;2.50;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-20 00:00:00;;2.26;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-21 00:00:00;;2.47;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-22 00:00:00;;2.38;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-23 00:00:00;;1.92;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-24 00:00:00;;2.16;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-25 00:00:00;;2.42;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-26 00:00:00;;2.28;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-27 00:00:00;;2.70;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-28 00:00:00;;3.23;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-29 00:00:00;;3.35;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-30 00:00:00;;2.87;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-31 00:00:00;;2.68;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-02-01 00:00:00;;3.06;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-02-02 00:00:00;;3.78;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-02-03 00:00:00;;3.97;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-02-04 00:00:00;;3.72;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-02-05 00:00:00;;2.84;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-02-06 00:00:00;;2.48;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-02-07 00:00:00;;2.64;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-02-08 00:00:00;;3.61;Freigegeben, provisorische Daten
Diepoldsau, Rietbrücke;2473;Wassertemperatur;Tagesmittel;°C;Rhein;2019-02-09 00:00:00;;4.13;Freigegeben, provisorische Daten
