Stationsnummer: 2485
Stationsname: Boncourt, Frontière
DBLH-Nr: 01150
Gewässer: Allaine
Exportperiode: 2019-01-01-2022-03-04
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-01 00:00:00;2019-01-01 02:50:00;8.89;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-02 00:00:00;2019-01-02 00:00:00;8.45;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-03 00:00:00;2019-01-03 00:00:00;7.40;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-04 00:00:00;2019-01-04 14:40:00;6.67;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-05 00:00:00;2019-01-05 22:40:00;6.64;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-06 00:00:00;2019-01-06 16:30:00;7.19;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-07 00:00:00;2019-01-07 15:20:00;7.31;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-08 00:00:00;2019-01-08 16:20:00;7.17;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-09 00:00:00;2019-01-09 14:50:00;7.15;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-10 00:00:00;2019-01-10 17:10:00;6.49;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-11 00:00:00;2019-01-11 14:50:00;6.37;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-12 00:00:00;2019-01-12 18:50:00;6.84;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-13 00:00:00;2019-01-14 00:00:00;8.54;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-14 00:00:00;2019-01-14 14:30:00;9.06;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-15 00:00:00;2019-01-15 18:30:00;9.09;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-16 00:00:00;2019-01-16 00:00:00;8.70;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-17 00:00:00;2019-01-17 14:00:00;8.86;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-18 00:00:00;2019-01-18 00:00:00;8.40;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-19 00:00:00;2019-01-19 00:00:00;7.60;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-20 00:00:00;2019-01-20 23:50:00;7.31;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-21 00:00:00;2019-01-21 00:10:00;7.32;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-22 00:00:00;2019-01-22 14:30:00;7.21;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-23 00:00:00;2019-01-23 15:40:00;7.21;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-24 00:00:00;2019-01-24 00:10:00;7.01;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-25 00:00:00;2019-01-25 14:10:00;6.04;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-26 00:00:00;2019-01-26 21:10:00;6.86;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-27 00:00:00;2019-01-27 14:00:00;7.84;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-28 00:00:00;2019-01-28 14:50:00;7.31;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-29 00:00:00;2019-01-29 15:40:00;7.05;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-30 00:00:00;2019-01-30 15:10:00;6.88;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-01-31 00:00:00;2019-01-31 17:30:00;7.10;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-01 00:00:00;2019-02-02 00:00:00;8.32;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-02 00:00:00;2019-02-02 17:10:00;8.88;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-03 00:00:00;2019-02-03 00:00:00;8.74;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-04 00:00:00;2019-02-04 00:00:00;7.98;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-05 00:00:00;2019-02-05 00:00:00;7.86;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-06 00:00:00;2019-02-06 00:00:00;7.48;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-07 00:00:00;2019-02-08 00:00:00;8.29;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-08 00:00:00;2019-02-08 18:10:00;8.94;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-09 00:00:00;2019-02-09 19:10:00;9.27;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-10 00:00:00;2019-02-10 15:30:00;9.10;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-11 00:00:00;2019-02-11 00:00:00;8.81;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-12 00:00:00;2019-02-12 18:00:00;8.74;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-13 00:00:00;2019-02-13 17:40:00;8.75;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-14 00:00:00;2019-02-14 17:20:00;8.94;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-15 00:00:00;2019-02-15 17:20:00;8.96;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-16 00:00:00;2019-02-16 16:20:00;9.05;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-17 00:00:00;2019-02-17 16:30:00;9.10;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-18 00:00:00;2019-02-18 16:30:00;9.03;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-19 00:00:00;2019-02-19 16:50:00;8.97;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-20 00:00:00;2019-02-20 16:10:00;9.26;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-21 00:00:00;2019-02-21 16:10:00;9.26;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-22 00:00:00;2019-02-22 17:20:00;9.50;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmaxima;°C;Allaine;2019-02-23 00:00:00;2019-02-23 15:40:00;9.20;Freigegeben, provisorische Daten
