Stationsnummer: 2485
Stationsname: Boncourt, Frontière
DBLH-Nr: 01150
Gewässer: Allaine
Exportperiode: 2019-01-01-2022-03-04
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-01 00:00:00;;8.70;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-02 00:00:00;;8.05;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-03 00:00:00;;6.61;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-04 00:00:00;;6.37;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-05 00:00:00;;6.45;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-06 00:00:00;;6.95;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-07 00:00:00;;7.16;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-08 00:00:00;;7.00;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-09 00:00:00;;6.79;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-10 00:00:00;;6.30;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-11 00:00:00;;6.16;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-12 00:00:00;;6.43;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-13 00:00:00;;7.69;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-14 00:00:00;;8.92;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-15 00:00:00;;8.87;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-16 00:00:00;;8.21;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-17 00:00:00;;8.54;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-18 00:00:00;;7.94;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-19 00:00:00;;7.08;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-20 00:00:00;;6.95;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-21 00:00:00;;7.10;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-22 00:00:00;;6.89;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-23 00:00:00;;6.83;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-24 00:00:00;;6.52;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-25 00:00:00;;5.67;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-26 00:00:00;;6.28;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-27 00:00:00;;7.29;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-28 00:00:00;;6.97;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-29 00:00:00;;6.68;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-30 00:00:00;;6.61;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-01-31 00:00:00;;6.58;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-01 00:00:00;;7.38;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-02 00:00:00;;8.55;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-03 00:00:00;;8.32;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-04 00:00:00;;7.72;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-05 00:00:00;;7.43;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-06 00:00:00;;6.99;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-07 00:00:00;;7.32;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-08 00:00:00;;8.35;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-09 00:00:00;;8.75;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-10 00:00:00;;8.89;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-11 00:00:00;;8.47;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-12 00:00:00;;8.30;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-13 00:00:00;;8.19;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-14 00:00:00;;8.26;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-15 00:00:00;;8.29;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-16 00:00:00;;8.30;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-17 00:00:00;;8.36;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-18 00:00:00;;8.37;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-19 00:00:00;;8.33;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-20 00:00:00;;8.57;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-21 00:00:00;;8.52;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-22 00:00:00;;8.80;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-23 00:00:00;;8.66;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-24 00:00:00;;8.01;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-25 00:00:00;;7.91;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-26 00:00:00;;8.28;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-27 00:00:00;;8.60;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-02-28 00:00:00;;8.90;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-03-01 00:00:00;;9.33;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-03-02 00:00:00;;9.15;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-03-03 00:00:00;;9.62;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-03-04 00:00:00;;9.32;Freigegeben, provisorische Daten
Boncourt, Frontière;2485;Wassertemperatur;Tagesmittel;°C;Allaine;2019-03-05 00:00:00;;8.85;Freigegeben, provisorische Daten
