Stationsnummer: 2493
Stationsname: Gland, Route Suisse
DBLH-Nr: 01173
Gewässer: Promenthouse
Exportperiode: 2019-07-20-2022-03-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-20 00:00:00;2019-07-20 14:40:00;17.21;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-21 00:00:00;2019-07-21 14:30:00;17.78;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-22 00:00:00;2019-07-22 14:40:00;17.96;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-23 00:00:00;2019-07-23 14:40:00;18.92;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-24 00:00:00;2019-07-24 11:20:00;20.85;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-25 00:00:00;2019-07-25 15:00:00;19.60;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-26 00:00:00;2019-07-26 14:20:00;19.27;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-27 00:00:00;2019-07-27 03:40:00;18.04;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-28 00:00:00;2019-07-28 00:00:00;17.14;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-29 00:00:00;2019-07-29 17:00:00;14.09;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-30 00:00:00;2019-07-30 17:20:00;13.42;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-07-31 00:00:00;2019-07-31 16:50:00;13.61;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-01 00:00:00;2019-08-01 20:00:00;14.27;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-02 00:00:00;2019-08-02 17:20:00;14.49;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-03 00:00:00;2019-08-03 19:10:00;14.93;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-04 00:00:00;2019-08-04 18:30:00;15.23;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-05 00:00:00;2019-08-05 18:00:00;16.36;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-06 00:00:00;2019-08-06 17:20:00;16.41;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-07 00:00:00;2019-08-07 17:50:00;16.31;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-08 00:00:00;2019-08-08 14:10:00;15.91;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-09 00:00:00;2019-08-09 20:40:00;16.07;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-10 00:00:00;2019-08-10 05:10:00;16.32;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-11 00:00:00;2019-08-11 15:50:00;15.03;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-12 00:00:00;2019-08-12 00:20:00;14.33;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-13 00:00:00;2019-08-13 18:30:00;13.79;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-14 00:00:00;2019-08-14 18:10:00;13.74;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-15 00:00:00;2019-08-15 17:10:00;14.25;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-16 00:00:00;2019-08-16 17:40:00;14.30;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-17 00:00:00;2019-08-17 18:30:00;15.54;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-18 00:00:00;2019-08-18 23:20:00;17.34;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-19 00:00:00;2019-08-19 14:30:00;17.13;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-20 00:00:00;2019-08-20 03:40:00;14.86;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-21 00:00:00;2019-08-21 15:30:00;12.61;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-22 00:00:00;2019-08-22 15:20:00;11.78;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-23 00:00:00;2019-08-23 16:30:00;12.51;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmaxima;°C;Promenthouse;2019-08-24 00:00:00;2019-08-24 18:00:00;13.67;Freigegeben, provisorische Daten
