Stationsnummer: 2493
Stationsname: Gland, Route Suisse
DBLH-Nr: 01173
Gewässer: Promenthouse
Exportperiode: 2019-01-01-2019-06-11
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-01 00:00:00;;7.04;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-02 00:00:00;;6.39;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-03 00:00:00;;5.38;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-04 00:00:00;;5.22;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-05 00:00:00;;5.68;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-06 00:00:00;;6.04;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-07 00:00:00;;5.74;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-08 00:00:00;;5.95;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-09 00:00:00;;5.60;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-10 00:00:00;;4.78;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-11 00:00:00;;4.66;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-12 00:00:00;;5.41;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-13 00:00:00;;5.52;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-14 00:00:00;;5.93;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-15 00:00:00;;5.55;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-16 00:00:00;;5.05;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-17 00:00:00;;5.98;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-18 00:00:00;;5.23;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-19 00:00:00;;4.41;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-20 00:00:00;;4.75;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-21 00:00:00;;5.07;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-22 00:00:00;;4.48;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-23 00:00:00;;4.30;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-24 00:00:00;;4.21;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-25 00:00:00;;3.09;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-26 00:00:00;;4.05;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-27 00:00:00;;4.91;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-28 00:00:00;;4.67;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-29 00:00:00;;4.44;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-30 00:00:00;;4.04;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-01-31 00:00:00;;4.15;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-01 00:00:00;;4.32;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-02 00:00:00;;5.13;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-03 00:00:00;;5.43;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-04 00:00:00;;4.58;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-05 00:00:00;;4.33;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-06 00:00:00;;4.15;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-07 00:00:00;;4.55;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-08 00:00:00;;5.28;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-09 00:00:00;;5.72;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-10 00:00:00;;5.66;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-11 00:00:00;;5.15;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-12 00:00:00;;5.07;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-13 00:00:00;;5.06;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-14 00:00:00;;4.97;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-15 00:00:00;;5.22;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-16 00:00:00;;5.41;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-17 00:00:00;;5.57;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-18 00:00:00;;5.71;Freigegeben, provisorische Daten
Gland, Route Suisse;2493;Wassertemperatur;Tagesmittel;°C;Promenthouse;2019-02-19 00:00:00;;5.82;Freigegeben, provisorische Daten
