Stationsnummer: 2604
Stationsname: Biberbrugg
DBLH-Nr: 01240
Gewässer: Biber
Exportperiode: 2014-01-01-2018-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-01 00:00:00;2014-01-01 14:35:00;0.87;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-02 00:00:00;2014-01-02 14:35:00;1.78;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-03 00:00:00;2014-01-04 00:00:00;1.79;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-04 00:00:00;2014-01-04 18:35:00;2.81;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-05 00:00:00;2014-01-05 04:25:00;2.62;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-06 00:00:00;2014-01-07 00:00:00;2.47;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-07 00:00:00;2014-01-07 14:25:00;3.31;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-08 00:00:00;2014-01-08 16:05:00;3.58;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-09 00:00:00;2014-01-10 00:00:00;3.51;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-10 00:00:00;2014-01-10 01:05:00;3.62;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-11 00:00:00;2014-01-11 15:45:00;3.65;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-12 00:00:00;2014-01-12 00:05:00;3.47;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-13 00:00:00;2014-01-13 20:15:00;2.91;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-14 00:00:00;2014-01-14 03:55:00;2.89;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-15 00:00:00;2014-01-15 20:35:00;2.10;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-16 00:00:00;2014-01-16 15:25:00;2.96;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-17 00:00:00;2014-01-17 14:35:00;3.38;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-18 00:00:00;2014-01-18 00:00:00;1.99;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-19 00:00:00;2014-01-19 16:25:00;3.82;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-20 00:00:00;2014-01-20 17:15:00;3.37;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-21 00:00:00;2014-01-21 00:00:00;3.28;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-22 00:00:00;2014-01-22 14:55:00;3.67;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-23 00:00:00;2014-01-23 00:00:00;2.86;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-24 00:00:00;2014-01-24 00:05:00;2.28;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-25 00:00:00;2014-01-25 00:00:00;0.43;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-26 00:00:00;2014-01-26 16:25:00;1.32;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-27 00:00:00;2014-01-27 14:45:00;1.83;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-28 00:00:00;2014-01-28 14:35:00;1.03;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-29 00:00:00;2014-01-29 00:05:00;0.00;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-30 00:00:00;2014-01-30 00:05:00;0.00;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-01-31 00:00:00;2014-01-31 00:05:00;0.00;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-02-01 00:00:00;2014-02-01 22:45:00;0.13;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-02-02 00:00:00;2014-02-02 15:15:00;0.66;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-02-03 00:00:00;2014-02-03 15:15:00;2.51;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-02-04 00:00:00;2014-02-04 15:55:00;2.80;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-02-05 00:00:00;2014-02-05 16:05:00;1.95;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-02-06 00:00:00;2014-02-06 14:55:00;2.37;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-02-07 00:00:00;2014-02-07 13:35:00;2.16;Freigegeben, validierte Daten
Biberbrugg;2604;Wassertemperatur;Tagesmaxima;°C;Biber;2014-02-08 00:00:00;2014-02-08 16:15:00;2.14;Freigegeben, validierte Daten
