Stationsnummer: 2604
Stationsname: Biberbrugg
DBLH-Nr: 01240
Gewässer: Biber
Exportperiode: 2019-01-01-2022-03-16
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-01 00:00:00;;4.06;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-02 00:00:00;;2.76;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-03 00:00:00;;0.37;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-04 00:00:00;;0.12;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-05 00:00:00;;0.20;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-06 00:00:00;;0.34;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-07 00:00:00;;1.41;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-08 00:00:00;;1.29;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-09 00:00:00;;0.59;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-10 00:00:00;;0.10;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-11 00:00:00;;0.29;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-12 00:00:00;;1.03;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-13 00:00:00;;0.67;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-14 00:00:00;;1.81;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-15 00:00:00;;2.01;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-16 00:00:00;;0.86;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-17 00:00:00;;1.66;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-18 00:00:00;;1.06;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-19 00:00:00;;0.00;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-20 00:00:00;;0.05;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-21 00:00:00;;0.52;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-22 00:00:00;;0.24;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-23 00:00:00;;0.00;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-24 00:00:00;;0.02;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-25 00:00:00;;0.03;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-26 00:00:00;;0.13;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-27 00:00:00;;1.05;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-28 00:00:00;;0.87;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-29 00:00:00;;0.40;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-30 00:00:00;;0.04;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-01-31 00:00:00;;0.01;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-01 00:00:00;;0.68;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-02 00:00:00;;1.64;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-03 00:00:00;;0.10;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-04 00:00:00;;0.00;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-05 00:00:00;;0.00;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-06 00:00:00;;0.00;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-07 00:00:00;;0.01;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-08 00:00:00;;0.12;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-09 00:00:00;;0.21;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-10 00:00:00;;0.40;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-11 00:00:00;;0.98;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-12 00:00:00;;1.55;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-13 00:00:00;;0.24;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-14 00:00:00;;0.44;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-15 00:00:00;;0.57;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-16 00:00:00;;0.84;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-17 00:00:00;;1.44;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-18 00:00:00;;1.76;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-19 00:00:00;;2.14;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-20 00:00:00;;2.48;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-21 00:00:00;;2.65;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-22 00:00:00;;3.60;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-23 00:00:00;;3.32;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-24 00:00:00;;2.71;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-25 00:00:00;;2.75;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-26 00:00:00;;2.89;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-27 00:00:00;;3.16;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-02-28 00:00:00;;3.56;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-01 00:00:00;;3.14;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-02 00:00:00;;3.46;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-03 00:00:00;;3.79;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-04 00:00:00;;3.15;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-05 00:00:00;;3.43;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-06 00:00:00;;3.44;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-07 00:00:00;;3.17;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-08 00:00:00;;3.14;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-09 00:00:00;;3.66;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-10 00:00:00;;3.37;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-11 00:00:00;;2.58;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-12 00:00:00;;3.30;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-13 00:00:00;;3.70;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-14 00:00:00;;3.16;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-15 00:00:00;;3.32;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-16 00:00:00;;4.97;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-17 00:00:00;;4.60;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-18 00:00:00;;3.54;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-19 00:00:00;;3.77;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-20 00:00:00;;3.62;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-21 00:00:00;;3.95;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-22 00:00:00;;4.65;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-23 00:00:00;;5.23;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-24 00:00:00;;5.71;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-25 00:00:00;;5.11;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-26 00:00:00;;4.35;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-27 00:00:00;;4.32;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-28 00:00:00;;4.93;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-29 00:00:00;;5.37;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-30 00:00:00;;5.83;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-03-31 00:00:00;;6.32;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-01 00:00:00;;6.65;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-02 00:00:00;;6.86;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-03 00:00:00;;7.40;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-04 00:00:00;;2.95;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-05 00:00:00;;3.27;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-06 00:00:00;;3.79;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-07 00:00:00;;4.81;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-08 00:00:00;;5.44;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-09 00:00:00;;6.01;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-10 00:00:00;;5.63;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-11 00:00:00;;6.01;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-12 00:00:00;;5.89;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-13 00:00:00;;5.10;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-14 00:00:00;;4.23;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-15 00:00:00;;5.98;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-16 00:00:00;;6.66;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-17 00:00:00;;9.21;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-18 00:00:00;;8.81;Freigegeben, provisorische Daten
Biberbrugg;2604;Wassertemperatur;Tagesmittel;°C;Biber;2019-04-19 00:00:00;;9.40;Freigegeben, provisorische Daten
