Stationsnummer: 2606
Stationsname: Genève, Halle de l'île
DBLH-Nr: 01253
Gewässer: Rhône
Exportperiode: 2019-01-01-2022-02-25
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-01 00:00:00;;7.64;Freigegeben, provisorische Daten
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-02 00:00:00;;7.52;Freigegeben, provisorische Daten
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-03 00:00:00;;7.16;Freigegeben, provisorische Daten
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-04 00:00:00;;6.90;Freigegeben, provisorische Daten
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-05 00:00:00;;6.96;Freigegeben, provisorische Daten
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-06 00:00:00;;6.80;Freigegeben, provisorische Daten
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-07 00:00:00;;7.03;Freigegeben, provisorische Daten
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-08 00:00:00;;7.18;Freigegeben, provisorische Daten
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-09 00:00:00;;7.06;Freigegeben, provisorische Daten
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-10 00:00:00;;6.86;Freigegeben, provisorische Daten
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-11 00:00:00;;6.62;Freigegeben, provisorische Daten
Genève, Halle de l'île;2606;Wassertemperatur;Tagesmittel;°C;Rhône;2019-01-12 00:00:00;;6.75;Freigegeben, provisorische Daten
