Stationsnummer: 2609
Stationsname: Einsiedeln
DBLH-Nr: 01251
Gewässer: Alp
Exportperiode: 2018-01-01-2018-12-16
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-01 00:00:00;2018-01-01 16:00:00;4.16;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-02 00:00:00;2018-01-02 00:00:00;3.72;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-03 00:00:00;2018-01-03 10:20:00;4.32;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-04 00:00:00;2018-01-04 12:30:00;3.82;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-05 00:00:00;2018-01-05 17:00:00;4.35;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-06 00:00:00;2018-01-06 16:10:00;4.76;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-07 00:00:00;2018-01-07 17:00:00;4.85;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-08 00:00:00;2018-01-08 14:40:00;5.59;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-09 00:00:00;2018-01-09 15:30:00;4.63;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-10 00:00:00;2018-01-10 16:00:00;4.34;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-11 00:00:00;2018-01-11 16:20:00;4.74;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-12 00:00:00;2018-01-12 00:00:00;4.10;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-13 00:00:00;2018-01-13 16:20:00;4.29;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-14 00:00:00;2018-01-14 15:40:00;2.66;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-15 00:00:00;2018-01-15 15:20:00;2.84;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-16 00:00:00;2018-01-16 19:50:00;4.24;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-17 00:00:00;2018-01-17 00:00:00;3.51;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-18 00:00:00;2018-01-18 23:50:00;3.46;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-19 00:00:00;2018-01-19 01:40:00;3.56;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmaxima;°C;Alp;2018-01-20 00:00:00;2018-01-20 21:50:00;3.77;Freigegeben, provisorische Daten
