Stationsnummer: 2609
Stationsname: Einsiedeln
DBLH-Nr: 01251
Gewässer: Alp
Exportperiode: 2018-01-01-2018-12-16
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-01 00:00:00;;3.52;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-02 00:00:00;;2.93;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-03 00:00:00;;3.37;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-04 00:00:00;;3.23;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-05 00:00:00;;3.77;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-06 00:00:00;;4.12;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-07 00:00:00;;4.02;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-08 00:00:00;;4.34;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-09 00:00:00;;4.05;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-10 00:00:00;;3.57;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-11 00:00:00;;3.92;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-12 00:00:00;;3.89;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-13 00:00:00;;3.59;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-14 00:00:00;;1.86;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-15 00:00:00;;1.69;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-16 00:00:00;;3.49;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-17 00:00:00;;1.48;Freigegeben, provisorische Daten
Einsiedeln;2609;Wassertemperatur;Tagesmittel;°C;Alp;2018-01-18 00:00:00;;2.20;Freigegeben, provisorische Daten
