Stationsnummer: 2612
Stationsname: Lavertezzo
DBLH-Nr: 01255
Gewässer: Riale di Pincascia
Exportperiode: 2019-01-01-2022-01-25
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Lavertezzo;2612;Wassertemperatur;Tagesmaxima;°C;Riale di Pincascia;2019-01-01 00:00:00;2019-01-01 13:00:00;3.44;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmaxima;°C;Riale di Pincascia;2019-01-02 00:00:00;2019-01-02 12:40:00;2.71;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmaxima;°C;Riale di Pincascia;2019-01-03 00:00:00;2019-01-03 00:00:00;1.94;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmaxima;°C;Riale di Pincascia;2019-01-04 00:00:00;2019-01-04 00:00:00;1.20;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmaxima;°C;Riale di Pincascia;2019-01-05 00:00:00;2019-01-06 00:00:00;1.06;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmaxima;°C;Riale di Pincascia;2019-01-06 00:00:00;2019-01-06 13:10:00;2.14;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmaxima;°C;Riale di Pincascia;2019-01-07 00:00:00;2019-01-07 13:00:00;2.21;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmaxima;°C;Riale di Pincascia;2019-01-08 00:00:00;2019-01-08 13:10:00;1.77;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmaxima;°C;Riale di Pincascia;2019-01-09 00:00:00;2019-01-09 12:20:00;1.79;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmaxima;°C;Riale di Pincascia;2019-01-10 00:00:00;2019-01-10 13:20:00;1.52;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmaxima;°C;Riale di Pincascia;2019-01-11 00:00:00;2019-01-11 00:00:00;0.80;Freigegeben, provisorische Daten
