Stationsnummer: 2612
Stationsname: Lavertezzo
DBLH-Nr: 01255
Gewässer: Riale di Pincascia
Exportperiode: 2019-01-01-2022-01-25
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-01 00:00:00;;3.12;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-02 00:00:00;;2.36;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-03 00:00:00;;1.52;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-04 00:00:00;;0.89;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-05 00:00:00;;0.67;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-06 00:00:00;;1.60;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-07 00:00:00;;1.77;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-08 00:00:00;;1.48;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-09 00:00:00;;1.44;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-10 00:00:00;;1.08;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-11 00:00:00;;0.53;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-12 00:00:00;;0.41;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-13 00:00:00;;0.97;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-14 00:00:00;;2.00;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-15 00:00:00;;2.13;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-16 00:00:00;;1.60;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-17 00:00:00;;1.76;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-18 00:00:00;;1.79;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-19 00:00:00;;1.36;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-20 00:00:00;;0.91;Freigegeben, provisorische Daten
Lavertezzo;2612;Wassertemperatur;Tagesmittel;°C;Riale di Pincascia;2019-01-21 00:00:00;;0.37;Freigegeben, provisorische Daten
