Stationsnummer: 2613
Stationsname: Weil, Palmrainbrücke
DBLH-Nr: 01257
Gewässer: Rhein
Exportperiode: 2019-01-01-2022-01-07
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-01 00:00:00;2019-01-01 15:00:00;7.30;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-02 00:00:00;2019-01-02 16:00:00;7.45;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-03 00:00:00;2019-01-03 00:10:00;7.32;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-04 00:00:00;2019-01-04 00:00:00;7.01;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-05 00:00:00;2019-01-05 00:00:00;6.42;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-06 00:00:00;2019-01-06 00:30:00;6.34;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-07 00:00:00;2019-01-07 21:50:00;6.36;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-08 00:00:00;2019-01-08 15:30:00;6.50;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-09 00:00:00;2019-01-09 03:40:00;6.55;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-10 00:00:00;2019-01-10 00:00:00;6.44;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-11 00:00:00;2019-01-11 00:10:00;6.28;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-12 00:00:00;2019-01-12 00:00:00;6.01;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-13 00:00:00;2019-01-13 23:30:00;6.12;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-14 00:00:00;2019-01-14 13:20:00;6.33;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-15 00:00:00;2019-01-15 00:00:00;6.12;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-16 00:00:00;2019-01-16 15:40:00;5.98;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-17 00:00:00;2019-01-17 15:00:00;5.91;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-18 00:00:00;2019-01-18 16:20:00;5.77;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-19 00:00:00;2019-01-19 00:00:00;5.65;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-20 00:00:00;2019-01-20 00:00:00;5.40;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-21 00:00:00;2019-01-21 00:00:00;5.13;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-22 00:00:00;2019-01-22 17:50:00;5.09;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-23 00:00:00;2019-01-23 19:30:00;5.15;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-24 00:00:00;2019-01-24 01:20:00;5.18;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-25 00:00:00;2019-01-25 00:10:00;5.01;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-26 00:00:00;2019-01-26 07:00:00;4.94;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-27 00:00:00;2019-01-28 00:00:00;5.13;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-28 00:00:00;2019-01-29 00:00:00;5.27;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-29 00:00:00;2019-01-29 14:40:00;5.41;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-30 00:00:00;2019-01-30 00:00:00;5.38;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-01-31 00:00:00;2019-01-31 15:20:00;5.16;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-02-01 00:00:00;2019-02-01 09:50:00;5.11;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmaxima;°C;Rhein;2019-02-02 00:00:00;2019-02-03 00:00:00;5.15;Freigegeben, provisorische Daten
