Stationsnummer: 2613
Stationsname: Weil, Palmrainbrücke
DBLH-Nr: 01257
Gewässer: Rhein
Exportperiode: 2019-01-01-2022-01-07
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-01 00:00:00;;7.19;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-02 00:00:00;;7.34;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-03 00:00:00;;7.14;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-04 00:00:00;;6.69;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-05 00:00:00;;6.32;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-06 00:00:00;;6.30;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-07 00:00:00;;6.30;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-08 00:00:00;;6.40;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-09 00:00:00;;6.50;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-10 00:00:00;;6.30;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-11 00:00:00;;6.14;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-12 00:00:00;;5.94;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-13 00:00:00;;6.00;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-14 00:00:00;;6.22;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-15 00:00:00;;6.04;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-16 00:00:00;;5.85;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-17 00:00:00;;5.81;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-18 00:00:00;;5.67;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-19 00:00:00;;5.50;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-20 00:00:00;;5.21;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-21 00:00:00;;4.96;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-22 00:00:00;;4.96;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-23 00:00:00;;5.05;Freigegeben, provisorische Daten
Weil, Palmrainbrücke;2613;Wassertemperatur;Tagesmittel;°C;Rhein;2019-01-24 00:00:00;;5.08;Freigegeben, provisorische Daten
