Stationsnummer: 2617
Stationsname: Müstair
DBLH-Nr: 01260
Gewässer: Rom
Exportperiode: 2019-01-01-2021-08-09
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-01 00:00:00;2019-01-01 14:30:00;3.53;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-02 00:00:00;2019-01-02 13:30:00;2.95;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-03 00:00:00;2019-01-03 00:00:00;1.99;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-04 00:00:00;2019-01-05 00:00:00;2.06;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-05 00:00:00;2019-01-05 14:20:00;3.32;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-06 00:00:00;2019-01-06 14:20:00;3.58;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-07 00:00:00;2019-01-07 13:50:00;3.34;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-08 00:00:00;2019-01-08 15:00:00;3.84;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-09 00:00:00;2019-01-09 00:00:00;2.94;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-10 00:00:00;2019-01-10 16:00:00;2.54;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-11 00:00:00;2019-01-12 00:00:00;1.96;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-12 00:00:00;2019-01-12 14:20:00;2.81;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-13 00:00:00;2019-01-13 14:40:00;3.49;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-14 00:00:00;2019-01-14 15:00:00;3.18;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-15 00:00:00;2019-01-15 14:30:00;2.75;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-16 00:00:00;2019-01-16 15:40:00;2.76;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-17 00:00:00;2019-01-17 15:30:00;3.56;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-18 00:00:00;2019-01-18 00:20:00;2.86;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-19 00:00:00;2019-01-19 14:20:00;2.00;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-20 00:00:00;2019-01-20 14:10:00;1.98;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-21 00:00:00;2019-01-21 14:20:00;2.35;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-22 00:00:00;2019-01-22 14:30:00;1.99;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-23 00:00:00;2019-01-23 14:30:00;2.24;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-24 00:00:00;2019-01-24 14:20:00;2.03;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-25 00:00:00;2019-01-25 14:30:00;1.93;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-26 00:00:00;2019-01-26 14:40:00;3.19;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-27 00:00:00;2019-01-27 14:10:00;3.12;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-28 00:00:00;2019-01-28 13:20:00;3.00;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-29 00:00:00;2019-01-29 14:20:00;2.70;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-30 00:00:00;2019-01-30 14:40:00;2.77;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-01-31 00:00:00;2019-01-31 14:20:00;2.66;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-01 00:00:00;2019-02-01 06:10:00;2.27;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-02 00:00:00;2019-02-02 16:20:00;3.11;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-03 00:00:00;2019-02-03 14:40:00;3.72;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-04 00:00:00;2019-02-04 13:50:00;2.40;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-05 00:00:00;2019-02-05 14:30:00;2.69;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-06 00:00:00;2019-02-06 15:10:00;3.20;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-07 00:00:00;2019-02-07 18:40:00;3.31;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-08 00:00:00;2019-02-08 15:10:00;3.55;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-09 00:00:00;2019-02-09 15:10:00;3.43;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-10 00:00:00;2019-02-10 15:00:00;3.69;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-11 00:00:00;2019-02-11 13:50:00;3.41;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmaxima;°C;Rom;2019-02-12 00:00:00;2019-02-12 15:20:00;3.19;Freigegeben, provisorische Daten
