Stationsnummer: 2617
Stationsname: Müstair
DBLH-Nr: 01260
Gewässer: Rom
Exportperiode: 2019-01-01-2021-08-09
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-01 00:00:00;;3.12;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-02 00:00:00;;2.57;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-03 00:00:00;;1.39;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-04 00:00:00;;1.51;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-05 00:00:00;;2.83;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-06 00:00:00;;3.06;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-07 00:00:00;;2.68;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-08 00:00:00;;3.00;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-09 00:00:00;;2.42;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-10 00:00:00;;1.92;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-11 00:00:00;;1.43;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-12 00:00:00;;2.41;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-13 00:00:00;;3.08;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-14 00:00:00;;2.94;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-15 00:00:00;;2.32;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-16 00:00:00;;2.12;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-17 00:00:00;;2.51;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-18 00:00:00;;1.99;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-19 00:00:00;;1.37;Freigegeben, provisorische Daten
Müstair;2617;Wassertemperatur;Tagesmittel;°C;Rom;2019-01-20 00:00:00;;1.25;Freigegeben, provisorische Daten
