Stationsnummer: 2623
Stationsname: Oberwald
DBLH-Nr: 01271
Gewässer: Rhone
Exportperiode: 2019-01-01-2022-04-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-01 00:00:00;2019-01-01 14:30:00;2.13;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-02 00:00:00;2019-01-02 00:10:00;1.33;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-03 00:00:00;2019-01-03 02:00:00;0.48;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-04 00:00:00;2019-01-04 13:30:00;0.63;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-05 00:00:00;2019-01-06 00:00:00;0.87;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-06 00:00:00;2019-01-06 15:10:00;1.50;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-07 00:00:00;2019-01-07 14:30:00;1.61;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-08 00:00:00;2019-01-08 13:40:00;1.35;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-09 00:00:00;2019-01-09 03:20:00;0.62;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-10 00:00:00;2019-01-10 15:10:00;0.67;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-11 00:00:00;2019-01-11 14:20:00;1.15;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-12 00:00:00;2019-01-12 15:10:00;1.58;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-13 00:00:00;2019-01-13 00:00:00;0.69;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-14 00:00:00;2019-01-14 11:00:00;0.80;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-15 00:00:00;2019-01-15 14:00:00;1.01;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-16 00:00:00;2019-01-16 14:50:00;1.32;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-17 00:00:00;2019-01-17 13:50:00;1.48;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-18 00:00:00;2019-01-18 14:20:00;1.63;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-19 00:00:00;2019-01-19 14:20:00;2.14;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-20 00:00:00;2019-01-20 14:40:00;1.93;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmaxima;°C;Rhone;2019-01-21 00:00:00;2019-01-21 14:20:00;2.09;Freigegeben, provisorische Daten
