Stationsnummer: 2623
Stationsname: Oberwald
DBLH-Nr: 01271
Gewässer: Rhone
Exportperiode: 2019-01-01-2022-04-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-01 00:00:00;;1.47;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-02 00:00:00;;0.85;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-03 00:00:00;;0.10;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-04 00:00:00;;0.24;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-05 00:00:00;;0.38;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-06 00:00:00;;1.03;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-07 00:00:00;;1.19;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-08 00:00:00;;1.06;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-09 00:00:00;;0.36;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-10 00:00:00;;0.43;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-11 00:00:00;;0.48;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-12 00:00:00;;0.98;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-13 00:00:00;;0.15;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-14 00:00:00;;0.42;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-15 00:00:00;;0.48;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-16 00:00:00;;0.53;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-17 00:00:00;;0.79;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-18 00:00:00;;0.98;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-19 00:00:00;;1.15;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-20 00:00:00;;1.00;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-21 00:00:00;;1.18;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-22 00:00:00;;0.84;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-23 00:00:00;;0.89;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-24 00:00:00;;0.91;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-25 00:00:00;;0.90;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-26 00:00:00;;1.59;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-27 00:00:00;;1.52;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-28 00:00:00;;1.21;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-29 00:00:00;;1.37;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-30 00:00:00;;1.42;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-01-31 00:00:00;;1.40;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-01 00:00:00;;1.93;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-02 00:00:00;;2.31;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-03 00:00:00;;1.74;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-04 00:00:00;;1.15;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-05 00:00:00;;1.26;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-06 00:00:00;;1.36;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-07 00:00:00;;1.89;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-08 00:00:00;;2.13;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-09 00:00:00;;2.11;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-10 00:00:00;;2.19;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-11 00:00:00;;1.20;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-12 00:00:00;;1.19;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-13 00:00:00;;1.47;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-14 00:00:00;;1.89;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-15 00:00:00;;1.98;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-16 00:00:00;;1.97;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-17 00:00:00;;2.03;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-18 00:00:00;;1.96;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-19 00:00:00;;1.99;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-20 00:00:00;;2.30;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-21 00:00:00;;2.43;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-22 00:00:00;;2.75;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-23 00:00:00;;2.46;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-24 00:00:00;;2.62;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-25 00:00:00;;2.70;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-26 00:00:00;;2.52;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-27 00:00:00;;2.83;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-02-28 00:00:00;;2.81;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-01 00:00:00;;2.56;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-02 00:00:00;;3.01;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-03 00:00:00;;3.01;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-04 00:00:00;;2.49;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-05 00:00:00;;2.77;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-06 00:00:00;;2.63;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-07 00:00:00;;2.96;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-08 00:00:00;;3.24;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-09 00:00:00;;3.01;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-10 00:00:00;;3.09;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-11 00:00:00;;1.14;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-12 00:00:00;;1.85;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-13 00:00:00;;2.16;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-14 00:00:00;;1.16;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-15 00:00:00;;1.09;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-16 00:00:00;;2.66;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-17 00:00:00;;2.80;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-18 00:00:00;;2.24;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-19 00:00:00;;2.15;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-20 00:00:00;;2.15;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-21 00:00:00;;2.61;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-22 00:00:00;;2.97;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-23 00:00:00;;3.17;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-24 00:00:00;;3.32;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-25 00:00:00;;2.75;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-26 00:00:00;;2.34;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-27 00:00:00;;2.58;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-28 00:00:00;;3.00;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-29 00:00:00;;3.20;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-30 00:00:00;;3.26;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-03-31 00:00:00;;3.22;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-04-01 00:00:00;;3.32;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-04-02 00:00:00;;3.37;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-04-03 00:00:00;;3.08;Freigegeben, provisorische Daten
Oberwald;2623;Wassertemperatur;Tagesmittel;°C;Rhone;2019-04-04 00:00:00;;0.30;Freigegeben, provisorische Daten
