Stationsnummer: 2634
Stationsname: Emmen
DBLH-Nr: 01364
Gewässer: Kleine Emme
Exportperiode: 2014-01-01-2017-01-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-01 00:00:00;2014-01-01 19:31:00;2.82;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-02 00:00:00;2014-01-02 15:51:00;3.41;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-03 00:00:00;2014-01-04 00:00:00;3.53;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-04 00:00:00;2014-01-04 18:21:00;4.30;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-05 00:00:00;2014-01-05 14:31:00;4.40;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-06 00:00:00;2014-01-07 00:00:00;3.50;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-07 00:00:00;2014-01-07 16:11:00;4.66;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-08 00:00:00;2014-01-08 17:11:00;5.08;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-09 00:00:00;2014-01-10 00:00:00;5.13;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-10 00:00:00;2014-01-10 07:11:00;5.39;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-11 00:00:00;2014-01-11 00:00:00;5.15;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-12 00:00:00;2014-01-12 00:51:00;5.21;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-13 00:00:00;2014-01-13 00:04:00;5.13;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-14 00:00:00;2014-01-14 12:41:00;4.82;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-15 00:00:00;2014-01-15 00:00:00;4.34;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-16 00:00:00;2014-01-17 00:00:00;4.82;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-17 00:00:00;2014-01-17 17:16:00;5.18;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-18 00:00:00;2014-01-18 00:01:00;5.05;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-19 00:00:00;2014-01-19 16:16:00;4.25;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-20 00:00:00;2014-01-21 00:00:00;4.32;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-21 00:00:00;2014-01-21 15:16:00;4.56;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-22 00:00:00;2014-01-22 15:36:00;4.66;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-23 00:00:00;2014-01-23 17:56:00;3.78;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-24 00:00:00;2014-01-24 15:16:00;4.04;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-25 00:00:00;2014-01-25 17:46:00;3.06;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-26 00:00:00;2014-01-26 17:36:00;3.56;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-27 00:00:00;2014-01-27 16:46:00;4.40;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-28 00:00:00;2014-01-28 16:06:00;3.09;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-29 00:00:00;2014-01-29 15:16:00;1.97;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-30 00:00:00;2014-01-30 18:56:00;1.83;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-01-31 00:00:00;2014-01-31 15:56:00;2.29;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-01 00:00:00;2014-02-01 22:46:00;2.93;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-02 00:00:00;2014-02-02 16:56:00;3.70;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-03 00:00:00;2014-02-03 16:26:00;4.09;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-04 00:00:00;2014-02-04 16:06:00;4.66;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-05 00:00:00;2014-02-05 18:26:00;4.77;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-06 00:00:00;2014-02-06 20:06:00;4.17;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-07 00:00:00;2014-02-07 15:36:00;3.80;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-08 00:00:00;2014-02-09 00:00:00;3.48;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-09 00:00:00;2014-02-09 15:36:00;4.17;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-10 00:00:00;2014-02-10 23:56:00;4.04;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-11 00:00:00;2014-02-11 17:26:00;4.92;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-12 00:00:00;2014-02-12 16:06:00;4.87;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-13 00:00:00;2014-02-13 18:46:00;4.66;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-14 00:00:00;2014-02-14 17:06:00;4.12;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-15 00:00:00;2014-02-15 17:26:00;5.95;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-16 00:00:00;2014-02-16 00:00:00;5.72;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-17 00:00:00;2014-02-17 16:26:00;5.69;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-18 00:00:00;2014-02-18 16:36:00;4.66;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-19 00:00:00;2014-02-19 18:06:00;5.23;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-20 00:00:00;2014-02-20 16:26:00;6.05;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-21 00:00:00;2014-02-21 14:36:00;5.10;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-22 00:00:00;2014-02-22 18:46:00;5.51;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-23 00:00:00;2014-02-23 17:06:00;6.38;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-24 00:00:00;2014-02-24 16:36:00;5.46;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-25 00:00:00;2014-02-25 17:56:00;5.67;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-26 00:00:00;2014-02-26 14:56:00;5.98;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-27 00:00:00;2014-02-27 16:36:00;6.31;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-02-28 00:00:00;2014-02-28 17:56:00;6.91;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-03-01 00:00:00;2014-03-01 00:00:00;6.07;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-03-02 00:00:00;2014-03-02 00:00:00;5.08;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-03-03 00:00:00;2014-03-03 15:26:00;4.40;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-03-04 00:00:00;2014-03-04 15:16:00;4.48;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-03-05 00:00:00;2014-03-05 15:06:00;6.79;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-03-06 00:00:00;2014-03-06 14:26:00;7.02;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-03-07 00:00:00;2014-03-07 16:46:00;9.41;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmaxima;°C;Kleine Emme;2014-03-08 00:00:00;2014-03-08 16:26:00;8.62;Freigegeben, validierte Daten
