Stationsnummer: 2634
Stationsname: Emmen
DBLH-Nr: 01364
Gewässer: Kleine Emme
Exportperiode: 2014-01-01-2017-01-01
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-01 00:00:00;;2.18;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-02 00:00:00;;2.91;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-03 00:00:00;;2.85;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-04 00:00:00;;3.89;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-05 00:00:00;;3.94;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-06 00:00:00;;2.99;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-07 00:00:00;;4.03;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-08 00:00:00;;4.46;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-09 00:00:00;;4.45;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-10 00:00:00;;5.22;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-11 00:00:00;;4.63;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-12 00:00:00;;5.04;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-13 00:00:00;;4.50;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-14 00:00:00;;4.55;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-15 00:00:00;;4.07;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-16 00:00:00;;4.25;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-17 00:00:00;;4.87;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-18 00:00:00;;4.36;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-19 00:00:00;;3.93;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-20 00:00:00;;4.01;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-21 00:00:00;;4.41;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-22 00:00:00;;4.21;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-23 00:00:00;;3.43;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-24 00:00:00;;3.69;Freigegeben, validierte Daten
Emmen;2634;Wassertemperatur;Tagesmittel;°C;Kleine Emme;2014-01-25 00:00:00;;2.66;Freigegeben, validierte Daten
