Stationsnummer: 2635
Stationsname: Einsiedeln, Gross
DBLH-Nr: 01363
Gewässer: Grossbach
Exportperiode: 2019-01-01-2022-04-21
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-01 00:00:00;2019-01-01 15:10:00;4.28;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-02 00:00:00;2019-01-02 00:00:00;3.19;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-03 00:00:00;2019-01-03 23:40:00;1.06;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-04 00:00:00;2019-01-04 16:40:00;1.07;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-05 00:00:00;2019-01-05 08:00:00;1.12;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-06 00:00:00;2019-01-06 23:50:00;1.88;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-07 00:00:00;2019-01-07 13:20:00;2.95;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-08 00:00:00;2019-01-08 12:00:00;2.31;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-09 00:00:00;2019-01-09 15:10:00;1.05;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-10 00:00:00;2019-01-10 12:30:00;1.17;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-11 00:00:00;2019-01-11 14:10:00;1.40;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-12 00:00:00;2019-01-12 15:10:00;2.40;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-13 00:00:00;2019-01-13 18:20:00;1.99;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-14 00:00:00;2019-01-14 13:10:00;2.46;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-15 00:00:00;2019-01-15 14:40:00;2.71;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-16 00:00:00;2019-01-16 15:20:00;2.71;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-17 00:00:00;2019-01-17 13:20:00;2.74;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-18 00:00:00;2019-01-18 02:10:00;1.21;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-19 00:00:00;2019-01-19 11:50:00;0.65;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-20 00:00:00;2019-01-20 13:50:00;1.30;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-21 00:00:00;2019-01-21 14:40:00;1.98;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-22 00:00:00;2019-01-22 13:00:00;0.74;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-23 00:00:00;2019-01-23 17:20:00;1.07;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-24 00:00:00;2019-01-24 12:50:00;1.04;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-25 00:00:00;2019-01-25 14:00:00;0.97;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-26 00:00:00;2019-01-26 14:20:00;1.70;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-27 00:00:00;2019-01-27 12:20:00;1.94;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-28 00:00:00;2019-01-28 08:30:00;3.33;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-29 00:00:00;2019-01-29 14:00:00;1.60;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-30 00:00:00;2019-01-30 13:10:00;1.62;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-01-31 00:00:00;2019-01-31 13:40:00;1.50;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-02-01 00:00:00;2019-02-01 13:40:00;2.44;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-02-02 00:00:00;2019-02-02 13:30:00;2.67;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-02-03 00:00:00;2019-02-03 00:00:00;1.08;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-02-04 00:00:00;2019-02-04 14:20:00;1.41;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-02-05 00:00:00;2019-02-05 14:40:00;1.44;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-02-06 00:00:00;2019-02-06 14:30:00;1.43;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-02-07 00:00:00;2019-02-07 13:30:00;1.53;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-02-08 00:00:00;2019-02-08 13:50:00;2.16;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-02-09 00:00:00;2019-02-09 13:10:00;2.88;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-02-10 00:00:00;2019-02-10 13:20:00;3.32;Freigegeben, provisorische Daten
Einsiedeln, Gross;2635;Wassertemperatur;Tagesmaxima;°C;Grossbach;2019-02-11 00:00:00;2019-02-11 14:00:00;2.13;Freigegeben, provisorische Daten
