Species,Taxon,Body Mass,LTNZ,UTNZ,TNZ,Latitude,Longitude,Acclimatization*,Reference
,,(g),(°C),(°C),(°C),(°N),(°W),,
,Afrosoricida,,,,,,,,
Setifer setosus,Tenrecidae,530,28,33,5,25.53,-80.16,A,McNab 1980
,Aotidae,,,,,,,,
Aotus trivirgatus,Primates,1020,28,30,2,22.35,103.2,A,"Le-Maho et al ., 1981"
,Primates,,,,,,,,
Capra hircus,Primates,21000,9,30,21,7.36,12.35,A,"Holmes and Moore 1981; Luiting et al .,"
,,,,,,,,,1985
Kobus ellipsiprymnus,Bovidae,100000,13,37,24,-0.1,29.58,W,"Taylor et al ., 1969"
Madoqua kirkii,Bovidae,4600,25,35,10,-29.52,30.54,W,"Maskrey and Hoppe, 1979"
Philantomba monticola,Bovidae,4400,26,32,6,-25.431,28.131,A,"Haim and Skinner, 1991"
Raphicerus campestris,Bovidae,8500,30,33,3,-25.432,28.132,A,"Haim and Skinner, 1991"
Sus scrofa,Suidae,48000,4,22,18,14.058,108.277,A,"Huynh et al ., 2005"
,,,,,,,,,
Pecari tajacu,Tayassuidae,20000,28,35,7,32.142,-111.05,W,Zervanos 1975
Tragulus javanicus,Tragulidae,1618,26.6,29,2.4,3.45,101.41,W,"Whittow et al., 1977"
,Carnivora,,,,,,,,
Canis mesomelas,Canidae,7720,22,26,4,-30.333,22.566,W,"Downs et al ., 1991"
Canis latrans,Canidae,10000,22,26,4,33.262,-112.05,W,Golightly and Ohmart 1983
Vulpes macrotis,Canidae,1868,22,33,11,33.268,-112.04,W,Golightly and Ohmart 1983
Cerdocyon thous,Canidae,5444,25,37,12,38.49,-77.57,A,"Henneman et al ., 1983"
Canis lupus,Canidae,18066.67,10,32.5,22.5,32.73,-117.145,A,"Irving et al ., 1995"
Vulpes vulpes,Canidae,5010,-10,30,40,69.1,-151.46,A,"Irving et al ., 1995"
Vulpes zerda,Canidae,1106,23.4,32,8.6,33.418,8.18,W,Noll-Banholzer 1979
