species,tmax (°C),tmin (°C),tmax metric,tmin metric,acclim-ated (Y/N),latitude collected,hemis-phere,altitude >600 m,habitat,phylum,class,order,family,Ref.
Agroeca proxima,37.4,-6.7,crit.,leth.,Y,55.4,N,3,terr.,Arthropoda,Arachnida,Araneae,Liocranidae,1
Clubiona similis,42,-16.9,crit.,leth.,Y,55.4,N,3,terr.,Arthropoda,Arachnida,Araneae,Clubionidae,1
Clubiona trivialis,41.4,-7.4,crit.,leth.,Y,55.4,N,3,terr.,Arthropoda,Arachnida,Araneae,Clubionidae,1
Dipoena inornata,43.2,-16.4,crit.,leth.,Y,55.4,N,3,terr.,Arthropoda,Arachnida,Araneae,Theridiidae,1
Oedothorax apicatus,40.4,-7.5,crit.,leth.,Y,55.4,N,3,terr.,Arthropoda,Arachnida,Araneae,Linyphiidae,1
Pardosa nigriceps,39.7,-7.2,crit.,leth.,Y,55.4,N,3,terr.,Arthropoda,Arachnida,Araneae,Lycosidae,1
Philodromus aureolus,42.1,-10.8,crit.,leth.,Y,55.4,N,3,terr.,Arthropoda,Arachnida,Araneae,Philodromidae,1
Scotina gracilipes,41.4,-6.9,crit.,leth.,Y,55.4,N,3,terr.,Arthropoda,Arachnida,Araneae,Liocranidae,1
Stemonyphantes lineatus,40.5,-13.3,crit.,leth.,Y,56.4,N,3,terr.,Arthropoda,Arachnida,Araneae,Linyphiidae,1
Tibellus oblongus,42.8,-13,crit.,leth.,Y,55.4,N,3,terr.,Arthropoda,Arachnida,Araneae,Philodromidae,1
Sceloporus undulatus,40.4,11.4,crit.,crit.,N,33.6,N,200,terr.,Chordata,Reptilia,Squamata,Phrynosomatidae,2
Lacerta agilis,43.9,5.9,crit.,crit.,N,51.8,N,no data,terr.,Chordata,Reptilia,Squamata,Lacertidae,4
Podarcis muralis,44.2,8.3,crit.,crit.,N,40.7,N,no data,terr.,Chordata,Reptilia,Squamata,Lacertidae,4
Psammodromus algirus,43.5,7,crit.,crit.,N,40.6,N,no data,terr.,Chordata,Reptilia,Squamata,Lacertidae,4
Psammodromus hispanicus,45.5,8.8,crit.,crit.,N,40.4,N,no data,terr.,Chordata,Reptilia,Squamata,Lacertidae,4
Dipsosaurus dorsalis,47.5,14,crit.,crit.,N,33.8,N,no data,terr.,Chordata,Reptilia,Squamata,Iguania,4
Chamaeleo bitaeniatus,42.2,4.4,crit.,crit.,N,1.2,N,2000,terr.,Chordata,Reptilia,Squamata,Chamaeleonidae,6
Chamaeleo dilepis,43.6,7.6,crit.,crit.,N,2.4,S,800,terr.,Chordata,Reptilia,Squamata,Chamaeleonidae,6
Chamaeleo ellioti,41.8,3.5,crit.,crit.,N,0.2,N,1800,terr.,Chordata,Reptilia,Squamata,Chamaeleonidae,6
Chamaeleo hohnelii,40.8,5.1,crit.,crit.,N,1.3,S,1700,terr.,Chordata,Reptilia,Squamata,Chamaeleonidae,6
Chamaeleo jacksonii,40,5.3,crit.,crit.,N,1.3,S,1700,terr.,Chordata,Reptilia,Squamata,Chamaeleonidae,6
Chamaeleo schubotzi,41.6,1.4,crit.,crit.,N,0.2,S,3300,terr.,Chordata,Reptilia,Squamata,Chamaeleonidae,6
