Genus,Species,N,Tmax,max_metric,error,error measure,Multiple measures,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N_1,tmin,min_metric,error_2,error_type,Multiple measures_min,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ,name,Class
Lepomis,gibbosus,24,35.1,ctmax,NA,NA,Y,20,0.3,46.2,-119,NA,Becker_&_Genoway_1979,2,20,1.7,ctmin,NA,NA,Y,10,0.0167,46.2,-119,NA,Becker_et_al_1977,1,Chordata,Actinopteri,Perciformes,Centrarchidae,NA,Lepomis gibbosus,Fish
Salmo,salar,4,31,ctmax,0.26,SE,N,10,0.017,54,-3,6,Elliot_1991,1,4,1,ctmin,0.33,SE,N,25,0.0176,54,-3,6,Elliot_1991,1,Chordata,Actinopteri,Salmoniformes,Salmonidae,NA,Salmo salar,Fish
Salmo,trutta,NA,29.8,ctmax,NA,NA,NA,20,0.02,33.9,-110.2,1550,Lee_&_Rinne_1980,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,NA,Salmo trutta,Fish
Salvelinus,fontinalis,NA,29.8,ctmax,NA,NA,NA,20,0.02,33.9,-110.2,1550,Lee_&_Rinne_1980,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,NA,Salvelinus fontinalis,Fish
Micropterus,salmoides,NA,30.69,ctmax,NA,NA,NA,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Actinopteri,Perciformes,Centrarchidae,NA,Micropterus salmoides,Fish
Ameiurus,melas,7,38.1,ctmax,0.39,SD,N,26,0.017,39,-91,150,Smale_&_Rabeni_1995,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Actinopteri,Siluriformes,Ictaluridae,NA,Ameiurus melas,Fish
Agroeca,proxima,10,37.4,ctmax,0.4,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,81,-6.7,LT50,NA,NA,N,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Liocranidae,NA,Agroeca proxima,Spider
Clubiona,diversa,15,41.4,ctmax,0.3,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,91,-10.2,LT50,NA,NA,N,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Clubionidae,NA,Clubiona diversa,Spider
Clubiona,similis,19,42.2,ctmax,0.5,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,231,-16.9,LT50,NA,NA,N,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Clubionidae,NA,Clubiona similis,Spider
Clubiona,trivialis,15,42.1,ctmax,0.3,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,45,-7.4,LT50,NA,NA,N,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Clubionidae,NA,Clubiona trivialis,Spider
Crustulina,guttata,10,41.8,ctmax,0.6,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,60,-8,LT50,NA,NA,N,15,0.5,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Theridiidae,NA,Crustulina guttata,Spider
Oedothorax,apicatus,10,40.8,ctmax,0.6,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,86,-7.5,LT50,NA,NA,N,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Linyphiidae,NA,Oedothorax apicatus,Spider
Pardosa,nigriceps,5,39.7,ctmax,0.6,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,67,-7.2,LT50,NA,NA,N,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Lycosidae,NA,Pardosa nigriceps,Spider
Philodromus,aureolus,5,42.1,ctmax,0.5,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,82,-10.8,LT50,NA,NA,N,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Philodromidae,NA,Philodromus aureolus,Spider
Stemonyphantes,lineatus,17,40.5,ctmax,1,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,67,-13.3,LT50,NA,NA,N,4,0.02,56.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Linyphiidae,NA,Stemonyphantes lineatus,Spider
Tibellus,oblongus,17,42.8,ctmax,1,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,72,-13,LT50,NA,NA,N,4,0.02,55.4,14.19,3,Almquist_1970,1,Arthropoda,Arachnida,Araneae,Thomisidae,NA,Tibellus oblongus,Spider
Euophrys,frontalis,10,45.7,ctmax,0.3,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Arachnida,Araneae,Salticidae,NA,Euophrys frontalis,Spider
Phrurolithus,festivus,5,45.6,ctmax,0.7,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Arachnida,Araneae,Corinnidae,NA,Phrurolithus festivus,Spider
Zora,spinimana,15,41.8,ctmax,0.3,SD,N,15,0.5,55.4,14.19,3,Almquist_1970,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Arachnida,Araneae,Zoridae,NA,Zora spinimana,Spider
Prinerigone,vagans,NA,35.9,ctmax,NA,NA,N,15,0.25,-46.9,37.74,88,Jumbam_et_al_2008a,1,NA,-8.1,ctmin,NA,NA,N,15,0.25,-46.9,37.74,88,Jumbam_et_al_2008a,1,Arthropoda,Arachnida,Araneae,Linyphiidae,NA,Prinerigone vagans,Spider
