PHYLUM,CLASS,ORDER,SPECIES,CTmax,Lethal Tmax,CTmin,min_metric,REF,Note
Chordata,Actinopterygii,Clupeiformes,Squalius cephalus,35.1/34.8,,1.7,ctmin,"GlobTherm, Comte and Olden (2017)",
Chordata,Actinopterygii,Salmoniformes,Salmo trutta,29.8/29.5,,NA,NA,"GlobTherm, Comte and Olden (2017)",
Chordata,Actinopterygii,Perciformes,Lepomis gibbosus,35.1/35.9,,NA,NA,"Morley et al. (2018), Comte and Olden (2017)",
Chordata,Actinopterygii,Perciformes,Ponticola kessleri,34,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Scorpaeniformes,Cottus gobio,30.3,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Clupeiformes,Alburnus alburnus,34.5,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Perciformes,Perca fluviatilis,34/31.8,,,,"Souchon and Tissot (2012), Comte and Olden (2017)",
Chordata,Actinopterygii,Clupeiformes,Carassius gibelio,,,,,,
Chordata,Actinopterygii,Clupeiformes,Barbus barbus,33.1,,NA,NA,Comte and Olden (2017),
Chordata,Actinopterygii,Clupeiformes,Rutilus rutilus,30.7,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Perciformes,Neogobius melanostomus,35.4,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Clupeiformes,Telestes souffia,33.2,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Clupeiformes,Tinca tinca,34.3,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Clupeiformes,Abramis brama,30.3,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Clupeiformes,Gobio gobio,30/29,36.7,NA,NA,"Souchon and Tissot (2012),Comte and Olden (2017)",
Chordata,Actinopterygii,Clupeiformes,Rhodeus amarus,34.1,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Clupeiformes,Scardinius erythrophthalmus,34.9,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Clupeiformes,Leuciscus leuciscus,32.6,32,,,"Comte and Olden (2017),Souchon and Tissot (2012)",
Chordata,Actinopterygii,Esociformes,Esox lucius,29,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Salmoniformes,Oncorhynchus mykiss,29.4/29.8,,NA,NA,"Morley et al. (2018), Comte and Olden (2017)",
Chordata,Actinopterygii,Anguilliformes,Anguilla anguilla,35.1,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Gadiformes,Lota lota,29,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Salmoniformes,Thymallus thymallus,29.1,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Salmoniformes,Coregonus acrinasus,,,,,,
Chordata,Actinopterygii,Clupeiformes,Alburnoides bipunctatus,,27,,,Souchon and Tissot (2012),
Chordata,Actinopterygii,Siluriformes,Silurus glanis,36.2,,,,,
Chordata,Actinopterygii,Clupeiformes,Chondrostoma nasus,34.03,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Salmoniformes,Salvelinus fontinalis,29.8/29.6,,NA,NA,"GlobTherm, Comte and Olden (2017)",
