PHYLUM,CLASS,ORDER,SPECIES
Chordata,Actinopterygii,Clupeiformes,Squalius cephalus
Chordata,Actinopterygii,Salmoniformes,Salmo trutta
Chordata,Actinopterygii,Perciformes,Lepomis gibbosus
Chordata,Actinopterygii,Perciformes,Ponticola kessleri
Chordata,Actinopterygii,Scorpaeniformes,Cottus gobio
Chordata,Actinopterygii,Clupeiformes,Alburnus alburnus
Chordata,Actinopterygii,Perciformes,Perca fluviatilis
Chordata,Actinopterygii,Clupeiformes,Carassius gibelio
Chordata,Actinopterygii,Clupeiformes,Barbus barbus
Chordata,Actinopterygii,Clupeiformes,Rutilus rutilus
Arthropoda,Arachnida,Araneae,Trochosa ruricola
Arthropoda,Arachnida,Araneae,Trochosa hispanica
Arthropoda,Arachnida,Araneae,Trochosa robusta
Chordata,Actinopterygii,Perciformes,Neogobius melanostomus
Chordata,Actinopterygii,Clupeiformes,Telestes souffia
Chordata,Cephalaspidomorphi,Petromyzontiformes,Lampetra planeri
Chordata,Actinopterygii,Clupeiformes,Tinca tinca
Chordata,Actinopterygii,Clupeiformes,Abramis brama
Chordata,Actinopterygii,Clupeiformes,Gobio gobio
Chordata,Actinopterygii,Clupeiformes,Rhodeus amarus
Chordata,Actinopterygii,Clupeiformes,Scardinius erythrophthalmus
Chordata,Actinopterygii,Clupeiformes,Leuciscus leuciscus
Chordata,Actinopterygii,Esociformes,Esox lucius
Chordata,Actinopterygii,Salmoniformes,Oncorhynchus mykiss
Chordata,Actinopterygii,Anguilliformes,Anguilla anguilla
Chordata,Actinopterygii,Gadiformes,Lota lota
Chordata,Actinopterygii,Salmoniformes,Thymallus thymallus
Chordata,Actinopterygii,Salmoniformes,Coregonus acrinasus
Chordata,Actinopterygii,Clupeiformes,Alburnoides bipunctatus
Chordata,Actinopterygii,Siluriformes,Silurus glanis
Chordata,Actinopterygii,Clupeiformes,Chondrostoma nasus
Chordata,Actinopterygii,Salmoniformes,Salvelinus fontinalis
Chordata,Actinopterygii,Clupeiformes,Blicca bjoerkna
Chordata,Actinopterygii,Siluriformes,Ameiurus melas
Chordata,Actinopterygii,Salmoniformes,Coregonus albellus
Chordata,Actinopterygii,Clupeiformes,Cyprinus carpio
Chordata,Actinopterygii,Clupeiformes,Paramisgurnus dabryanus
Chordata,Actinopterygii,Perciformes,Padogobius bonelli
Chordata,Actinopterygii,Clupeiformes,Telestes muticellus
Chordata,Actinopterygii,Clupeiformes,Scardinius hesperidicus
Chordata,Actinopterygii,Clupeiformes,Carassius carassius
Chordata,Actinopterygii,Salmoniformes,Salvelinus namaycush
Chordata,Actinopterygii,Clupeiformes,Phoxinus lumaireul
Chordata,Actinopterygii,Clupeiformes,Squalius squalus
Chordata,Actinopterygii,Salmoniformes,Salvelinus umbla
Chordata,Actinopterygii,Salmoniformes,Salmo salar
Chordata,Actinopterygii,Clupeiformes,Pseudorasbora parva
Chordata,Actinopterygii,Perciformes,Gymnocephalus cernua
Chordata,Actinopterygii,Clupeiformes,Carassius auratus
Chordata,Actinopterygii,Clupeiformes,Leucaspius delineatus
Chordata,Actinopterygii,Perciformes,Salaria fluviatilis
Chordata,Actinopterygii,Salmoniformes,Coregonus fatioi
Chordata,Actinopterygii,Clupeiformes,Cobitis bilineata
Chordata,Actinopterygii,Salmoniformes,Coregonus alpinus
Chordata,Actinopterygii,Salmoniformes,Coregonus profundus
Tracheophyta,Angiospermae,Rosales,Alchemilla monticola
Tracheophyta,Angiospermae,Poales,Poa trivialis
Tracheophyta,Angiospermae,Ericales,Vaccinium vitis-idaea
Tracheophyta,Angiospermae,Poales,Dactylis glomerata
Tracheophyta,Angiospermae,Gentianales,Gentiana bavarica
Tracheophyta,Angiospermae,Poales,Melica nutans
Tracheophyta,Angiospermae,Asterales,Centaurea jacea
Tracheophyta,Angiospermae,Asterales,Solidago gigantea
Tracheophyta,Angiospermae,Asparagales,Dactylorhiza maculata
Tracheophyta,Angiospermae,Apiales,Heracleum mantegazzianum
Tracheophyta,Angiospermae,Fabales,Lotus corniculatus
Tracheophyta,Angiospermae,Poales,Agrostis gigantea
Tracheophyta,Angiospermae,Rosales,Rubus armeniacus
Tracheophyta,Angiospermae,Malvales,Malva moschata
Tracheophyta,Angiospermae,Asterales,Hieracium pilosella
Tracheophyta,Angiospermae,Poales,Carex nigra
Tracheophyta,Angiospermae,Gentianales,Gentiana purpurea
Tracheophyta,Angiospermae,Asterales,Campanula barbata
Tracheophyta,Angiospermae,Asparagales,Gymnadenia conopsea
Tracheophyta,Angiospermae,Asterales,Erigeron annuus
Tracheophyta,Angiospermae,Poales,Carex panicea
Tracheophyta,Angiospermae,Asterales,Senecio erraticus
Tracheophyta,Angiospermae,Ranunculales,Thalictrum flavum
Tracheophyta,Angiospermae,Saxifragales,Saxifraga hirculus
Tracheophyta,Angiospermae,Brassicales,Capsella bursa-pastoris
Tracheophyta,Angiospermae,Ranunculales,Trollius europaeus
Tracheophyta,Angiospermae,Rosales,Agrimonia eupatoria
Tracheophyta,Angiospermae,Boraginales,Pulmonaria helvetica
Tracheophyta,Angiospermae,Poales,Poa alpina
Tracheophyta,Angiospermae,Alismatales,Tofieldia calyculata
Tracheophyta,Angiospermae,Asparagales,Muscari armeniacum
Tracheophyta,Angiospermae,Dipsacales,Viburnum opulus
Tracheophyta,Angiospermae,Asterales,Crepis aurea
Tracheophyta,Angiospermae,Gentianales,Galium album
Tracheophyta,Angiospermae,Asterales,Solidago virgaurea
Tracheophyta,Angiospermae,Apiales,Chaerophyllum hirsutum
