Squalius cephalus
Salmo trutta
Lepomis gibbosus
Ponticola kessleri
Cottus gobio
Alburnus alburnus
Perca fluviatilis
Barbus barbus
Rutilus rutilus
Neogobius melanostomus
Telestes souffia
Tinca tinca
Abramis brama
Gobio gobio
Rhodeus amarus
Scardinius erythrophthalmus
Leuciscus leuciscus
Esox lucius
Oncorhynchus mykiss
Anguilla anguilla
Lota lota
Thymallus thymallus
Silurus glanis
Chondrostoma nasus
Salvelinus fontinalis
Blicca bjoerkna
Ameiurus melas
Cyprinus carpio
Padogobius bonelli
Telestes muticellus
Carassius carassius
Salvelinus namaycush
Salmo salar
Pseudorasbora parva
Gymnocephalus cernua
Carassius auratus
Leucaspius delineatus
Salaria fluviatilis
Cobitis bilineata
Hypophthalmichthys molitrix
Sander lucioperca
Barbus plebejus
Ctenopharyngodon idella
Rutilus aula
Alosa fallax
Micropterus salmoides
Barbus caninus
Rutilus pigus
Sabanejewia larvata
Cobitis taenia
Salmo marmoratus
Misgurnus fossilis
Chondrostoma soetta
Parachondrostoma toxostoma
Alburnus arborella
Acipenser naccarii
Hucho hucho
Salamandra salamandra
Salamandra atra
Rana temporaria
Triturus carnifex
Triturus cristatus
Bombina variegata
Bufo bufo
Epidalea calamita
Hyla arborea
Rana dalmatina
Erinaceus europaeus
Vulpes vulpes
Sus scrofa
Crocidura russula
Ondatra zibethicus
Microtus arvalis
Sorex alpinus
Neomys fodiens
Sorex minutus
Neomys anomalus
Miniopterus schreibersii
Crocidura suaveolens
Canis lupus
Rattus rattus
